Concelho,Nível de Tensão,Ano,Mês,CPEs_Doméstico,CPEs_Iluminação Pública,CPEs_Não Doméstico,CPEs_Outros
Albergaria-a-Velha,Baixa Tensão,2023,3,11318.0,178.0,2516.0,112.0
Albergaria-a-Velha,Baixa Tensão,2023,4,11318.0,178.0,2516.0,112.0
Albergaria-a-Velha,Baixa Tensão,2023,5,11318.0,178.0,2516.0,112.0
Albergaria-a-Velha,Baixa Tensão,2023,6,11340.0,178.0,2521.0,111.0
Albergaria-a-Velha,Baixa Tensão,2023,7,11352.0,178.0,2526.0,111.0
Albergaria-a-Velha,Baixa Tensão,2023,8,11357.0,178.0,2527.0,104.0
Albergaria-a-Velha,Baixa Tensão,2023,9,11369.0,178.0,2528.0,103.0
Albergaria-a-Velha,Baixa Tensão,2023,10,11368.0,178.0,2531.0,102.0
Albergaria-a-Velha,Baixa Tensão,2023,11,11378.0,178.0,2533.0,100.0
Albergaria-a-Velha,Baixa Tensão,2023,12,11387.0,178.0,2535.0,98.0
Albergaria-a-Velha,Baixa Tensão,2024,1,11388.0,178.0,2527.0,95.0
Albergaria-a-Velha,Baixa Tensão,2024,2,11393.0,178.0,2537.0,90.0
Albergaria-a-Velha,Baixa Tensão,2024,3,11390.0,178.0,2538.0,89.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,3,0.0,0.0,89.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,4,0.0,0.0,89.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,5,0.0,0.0,90.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,6,0.0,0.0,91.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,7,0.0,0.0,92.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,8,0.0,0.0,91.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,9,0.0,0.0,91.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,10,0.0,0.0,91.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,11,0.0,0.0,92.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2022,12,0.0,0.0,92.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,1,0.0,0.0,92.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,2,0.0,0.0,92.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,3,0.0,0.0,92.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,4,0.0,0.0,92.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,5,0.0,0.0,92.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,6,0.0,0.0,91.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,7,0.0,0.0,91.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,8,0.0,0.0,91.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,9,0.0,0.0,91.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,10,0.0,0.0,91.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,11,0.0,0.0,91.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2023,12,0.0,0.0,91.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2024,1,0.0,0.0,91.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2024,2,0.0,0.0,91.0,0.0
Albergaria-a-Velha,"Muito Alta, Alta e Média Tensões",2024,3,0.0,0.0,91.0,0.0
Albufeira,Baixa Tensão,2022,3,42299.0,454.0,10242.0,146.0
Albufeira,Baixa Tensão,2022,4,42384.0,454.0,10353.0,143.0
Albufeira,Baixa Tensão,2022,5,42431.0,454.0,10352.0,143.0
Albufeira,Baixa Tensão,2022,6,42511.0,454.0,10375.0,140.0
Albufeira,Baixa Tensão,2022,7,42558.0,454.0,10395.0,136.0
Albufeira,Baixa Tensão,2022,8,42621.0,455.0,10407.0,137.0
Albufeira,Baixa Tensão,2022,9,42624.0,455.0,10413.0,134.0
Albufeira,Baixa Tensão,2022,10,42602.0,455.0,10366.0,135.0
Albufeira,Baixa Tensão,2022,11,42408.0,455.0,10256.0,134.0
Albufeira,Baixa Tensão,2022,12,42448.0,455.0,10148.0,136.0
Albufeira,Baixa Tensão,2023,1,42450.0,455.0,10155.0,130.0
Albufeira,Baixa Tensão,2023,2,42485.0,457.0,10198.0,130.0
Albufeira,Baixa Tensão,2023,3,42714.0,457.0,10382.0,130.0
Albufeira,Baixa Tensão,2023,4,42714.0,457.0,10381.0,130.0
Albufeira,Baixa Tensão,2023,5,42714.0,457.0,10381.0,130.0
Albufeira,Baixa Tensão,2023,6,42966.0,458.0,10471.0,132.0
Albufeira,Baixa Tensão,2023,7,43028.0,458.0,10490.0,129.0
Albufeira,Baixa Tensão,2023,8,43051.0,458.0,10490.0,135.0
Albufeira,Baixa Tensão,2023,9,43048.0,458.0,10495.0,134.0
Albufeira,Baixa Tensão,2023,10,43035.0,458.0,10499.0,132.0
Albufeira,Baixa Tensão,2023,11,42866.0,458.0,10384.0,134.0
Albufeira,Baixa Tensão,2023,12,42858.0,459.0,10384.0,137.0
Albufeira,Baixa Tensão,2024,1,42897.0,459.0,10500.0,130.0
Albufeira,Baixa Tensão,2024,2,42897.0,459.0,10519.0,129.0
Albufeira,Baixa Tensão,2024,3,43048.0,456.0,10522.0,128.0
Albufeira,"Muito Alta, Alta e Média Tensões",2022,3,0.0,0.0,124.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2022,4,0.0,0.0,124.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2022,5,0.0,0.0,124.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2022,6,0.0,0.0,124.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2022,7,0.0,0.0,124.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2022,8,0.0,0.0,124.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2022,9,0.0,0.0,126.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2022,10,0.0,0.0,125.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2022,11,0.0,0.0,125.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2022,12,0.0,0.0,126.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2023,1,0.0,0.0,127.0,0.0
Albufeira,"Muito Alta, Alta e Média Tensões",2023,2,0.0,0.0,128.0,0.0
