Concelho,Tipo de Serviço,Ano,Semestre,Ordens Serviço Realizadas (#)
Alcanena,Redução de Potência Contratada,2022,2,203
Alcanena,Redução de Potência Contratada,2023,1,284
Alcanena,Redução de Potência Contratada,2023,2,285
Alcanena,Redução de Potência Contratada,2024,1,125
Alcanena,Reposição de Potência Contratada,2022,1,84
Alcanena,Reposição de Potência Contratada,2022,2,187
Alcanena,Reposição de Potência Contratada,2023,1,254
Alcanena,Reposição de Potência Contratada,2023,2,242
Alcanena,Reposição de Potência Contratada,2024,1,101
Alcanena,Servico Alteração Contractual,2022,1,66
Alcanena,Servico Alteração Contractual,2022,2,101
Alcanena,Servico Alteração Contractual,2023,1,123
Alcanena,Servico Alteração Contractual,2023,2,176
Alcanena,Servico Alteração Contractual,2024,1,89
Alcanena,Serviço de Corte e Re-Ligação,2022,1,42
Alcanena,Serviço de Corte e Re-Ligação,2022,2,39
Alcanena,Serviço de Corte e Re-Ligação,2023,1,77
Alcanena,Serviço de Corte e Re-Ligação,2023,2,73
Alcanena,Serviço de Corte e Re-Ligação,2024,1,26
Alcobaça,Configuração de EMI,2022,1,46
Alcobaça,Configuração de EMI,2022,2,555
Alcobaça,Configuração de EMI,2023,1,3222
Alcobaça,Configuração de EMI,2023,2,135
Alcobaça,Configuração de EMI,2024,1,23
Alcobaça,Outros,2022,1,1
Alcobaça,Outros,2022,2,1
Alcobaça,REMOTE_ICP_CONFIGURATION,2022,2,2
Alcobaça,REMOTE_ICP_CONFIGURATION,2023,1,35
Alcobaça,REMOTE_ICP_CONFIGURATION,2023,2,51
Alcobaça,REMOTE_ICP_CONFIGURATION,2024,1,2
Alcobaça,Redução de Potência Contratada,2022,1,689
Alcobaça,Redução de Potência Contratada,2022,2,1261
Alcobaça,Redução de Potência Contratada,2023,1,1705
Alcobaça,Redução de Potência Contratada,2023,2,1837
Alcobaça,Redução de Potência Contratada,2024,1,705
Alcobaça,Reposição de Potência Contratada,2022,1,608
Alcobaça,Reposição de Potência Contratada,2022,2,1124
Alcobaça,Reposição de Potência Contratada,2023,1,1418
Alcobaça,Reposição de Potência Contratada,2023,2,1553
Alcobaça,Reposição de Potência Contratada,2024,1,547
Alcobaça,Servico Alteração Contractual,2022,1,374
Alcobaça,Servico Alteração Contractual,2022,2,573
Alcobaça,Servico Alteração Contractual,2023,1,660
Alcobaça,Servico Alteração Contractual,2023,2,750
Alcobaça,Servico Alteração Contractual,2024,1,344
Alcobaça,Serviço de Corte e Re-Ligação,2022,1,272
Alcobaça,Serviço de Corte e Re-Ligação,2022,2,434
Alcobaça,Serviço de Corte e Re-Ligação,2023,1,604
Alcobaça,Serviço de Corte e Re-Ligação,2023,2,505
Alcobaça,Serviço de Corte e Re-Ligação,2024,1,130
Alcochete,Configuração de EMI,2022,1,28
Alcochete,Configuração de EMI,2022,2,197
Alcochete,Configuração de EMI,2023,1,450
Alcochete,Configuração de EMI,2023,2,45
Alcochete,Configuração de EMI,2024,1,6
Alcochete,Outros,2022,2,1
Alcochete,Outros,2023,1,1
Alcochete,REMOTE_ICP_CONFIGURATION,2023,1,1
Alcochete,REMOTE_ICP_CONFIGURATION,2023,2,11
Alcochete,Redução de Potência Contratada,2022,1,410
Alcochete,Redução de Potência Contratada,2022,2,662
Alcochete,Redução de Potência Contratada,2023,1,750
Alcochete,Redução de Potência Contratada,2023,2,709
Alcochete,Redução de Potência Contratada,2024,1,223
Alcochete,Reposição de Potência Contratada,2022,1,356
Alcochete,Reposição de Potência Contratada,2022,2,516
Alcochete,Reposição de Potência Contratada,2023,1,574
Alcochete,Reposição de Potência Contratada,2023,2,539
Alcochete,Reposição de Potência Contratada,2024,1,158
