Concelho,Tipo de Serviço,Ano,Semestre,Ordens Serviço Realizadas (#)
Avis,Redução de Potência Contratada,2022,1,71
Avis,Redução de Potência Contratada,2022,2,113
Avis,Redução de Potência Contratada,2023,1,120
Avis,Redução de Potência Contratada,2023,2,145
Avis,Redução de Potência Contratada,2024,1,52
Avis,Reposição de Potência Contratada,2022,1,46
Avis,Reposição de Potência Contratada,2022,2,101
Avis,Reposição de Potência Contratada,2023,1,86
Avis,Reposição de Potência Contratada,2023,2,111
Avis,Reposição de Potência Contratada,2024,1,40
Avis,Servico Alteração Contractual,2022,1,21
Avis,Servico Alteração Contractual,2022,2,36
Avis,Servico Alteração Contractual,2023,1,45
Avis,Servico Alteração Contractual,2023,2,70
Avis,Servico Alteração Contractual,2024,1,24
Avis,Serviço de Corte e Re-Ligação,2022,1,21
Avis,Serviço de Corte e Re-Ligação,2022,2,25
Avis,Serviço de Corte e Re-Ligação,2023,1,41
Avis,Serviço de Corte e Re-Ligação,2023,2,39
Avis,Serviço de Corte e Re-Ligação,2024,1,4
Azambuja,Configuração de EMI,2022,1,12
Azambuja,Configuração de EMI,2022,2,237
Azambuja,Configuração de EMI,2023,1,707
Azambuja,Configuração de EMI,2023,2,53
Azambuja,Configuração de EMI,2024,1,4
Azambuja,Outros,2022,1,3
Azambuja,Outros,2023,1,1
Azambuja,Outros,2023,2,2
Azambuja,REMOTE_ICP_CONFIGURATION,2022,2,2
Azambuja,REMOTE_ICP_CONFIGURATION,2023,1,4
Azambuja,REMOTE_ICP_CONFIGURATION,2023,2,22
Azambuja,REMOTE_ICP_CONFIGURATION,2024,1,2
Azambuja,Redução de Potência Contratada,2022,1,288
Azambuja,Redução de Potência Contratada,2022,2,422
Azambuja,Redução de Potência Contratada,2023,1,526
Azambuja,Redução de Potência Contratada,2023,2,591
Azambuja,Redução de Potência Contratada,2024,1,222
Azambuja,Reposição de Potência Contratada,2022,1,254
Azambuja,Reposição de Potência Contratada,2022,2,386
Azambuja,Reposição de Potência Contratada,2023,1,433
Azambuja,Reposição de Potência Contratada,2023,2,506
Azambuja,Reposição de Potência Contratada,2024,1,168
Azambuja,Servico Alteração Contractual,2022,1,179
Azambuja,Servico Alteração Contractual,2022,2,264
Azambuja,Servico Alteração Contractual,2023,1,298
Azambuja,Servico Alteração Contractual,2023,2,312
Azambuja,Servico Alteração Contractual,2024,1,134
Azambuja,Serviço de Corte e Re-Ligação,2022,1,71
Azambuja,Serviço de Corte e Re-Ligação,2022,2,89
Azambuja,Serviço de Corte e Re-Ligação,2023,1,104
Azambuja,Serviço de Corte e Re-Ligação,2023,2,97
Azambuja,Serviço de Corte e Re-Ligação,2024,1,24
Baião,Configuração de EMI,2022,1,4
Baião,Configuração de EMI,2022,2,397
Baião,Configuração de EMI,2023,1,401
Baião,Configuração de EMI,2023,2,7
Baião,Configuração de EMI,2024,1,5
Baião,Outros,2022,1,2
Baião,REMOTE_ICP_CONFIGURATION,2022,2,1
Baião,REMOTE_ICP_CONFIGURATION,2023,1,5
Baião,REMOTE_ICP_CONFIGURATION,2023,2,2
Baião,Redução de Potência Contratada,2022,1,34
Baião,Redução de Potência Contratada,2022,2,116
Baião,Redução de Potência Contratada,2023,1,119
Baião,Redução de Potência Contratada,2023,2,125
Baião,Redução de Potência Contratada,2024,1,44
Baião,Reposição de Potência Contratada,2022,1,26
Baião,Reposição de Potência Contratada,2022,2,106
Baião,Reposição de Potência Contratada,2023,1,105
Baião,Reposição de Potência Contratada,2023,2,109
Baião,Reposição de Potência Contratada,2024,1,42
Baião,Servico Alteração Contractual,2022,1,18
Baião,Servico Alteração Contractual,2022,2,43
Baião,Servico Alteração Contractual,2023,1,44
Baião,Servico Alteração Contractual,2023,2,65
Baião,Servico Alteração Contractual,2024,1,30
Baião,Serviço de Corte e Re-Ligação,2022,1,13
Baião,Serviço de Corte e Re-Ligação,2022,2,34
Baião,Serviço de Corte e Re-Ligação,2023,1,42
Baião,Serviço de Corte e Re-Ligação,2023,2,32
Baião,Serviço de Corte e Re-Ligação,2024,1,18
Barcelos,Configuração de EMI,2022,1,98
Barcelos,Configuração de EMI,2022,2,1210
Barcelos,Configuração de EMI,2023,1,3752
Barcelos,Configuração de EMI,2023,2,216
Barcelos,Configuração de EMI,2024,1,55
Barcelos,Outros,2022,1,2
Barcelos,Outros,2022,2,4
Barcelos,Outros,2023,1,2
Barcelos,Outros,2023,2,2
Barcelos,REMOTE_ICP_CONFIGURATION,2022,2,5
Barcelos,REMOTE_ICP_CONFIGURATION,2023,1,26
Barcelos,REMOTE_ICP_CONFIGURATION,2023,2,28
Barcelos,REMOTE_ICP_CONFIGURATION,2024,1,4
Barcelos,Redução de Potência Contratada,2022,1,397
Barcelos,Redução de Potência Contratada,2022,2,812
Barcelos,Redução de Potência Contratada,2023,1,1109
Barcelos,Redução de Potência Contratada,2023,2,1598
Barcelos,Redução de Potência Contratada,2024,1,650
Barcelos,Reposição de Potência Contratada,2022,1,315
Barcelos,Reposição de Potência Contratada,2022,2,647
Barcelos,Reposição de Potência Contratada,2023,1,777
Barcelos,Reposição de Potência Contratada,2023,2,1110
Barcelos,Reposição de Potência Contratada,2024,1,435
Barcelos,Servico Alteração Contractual,2022,1,269
Barcelos,Servico Alteração Contractual,2022,2,628
Barcelos,Servico Alteração Contractual,2023,1,665
Barcelos,Servico Alteração Contractual,2023,2,1260
Barcelos,Servico Alteração Contractual,2024,1,440
Barcelos,Serviço de Corte e Re-Ligação,2022,1,180
Barcelos,Serviço de Corte e Re-Ligação,2022,2,332
Barcelos,Serviço de Corte e Re-Ligação,2023,1,446
Barcelos,Serviço de Corte e Re-Ligação,2023,2,542
Barcelos,Serviço de Corte e Re-Ligação,2024,1,116
Barrancos,Configuração de EMI,2022,2,52
Barrancos,Configuração de EMI,2023,1,92
Barrancos,Configuração de EMI,2023,2,1
Barrancos,Redução de Potência Contratada,2022,1,14
Barrancos,Redução de Potência Contratada,2022,2,21
Barrancos,Redução de Potência Contratada,2023,1,30
Barrancos,Redução de Potência Contratada,2023,2,25
Barrancos,Redução de Potência Contratada,2024,1,7
Barrancos,Reposição de Potência Contratada,2022,1,15
Barrancos,Reposição de Potência Contratada,2022,2,18
Barrancos,Reposição de Potência Contratada,2023,1,27
Barrancos,Reposição de Potência Contratada,2023,2,20
Barrancos,Reposição de Potência Contratada,2024,1,4
Barrancos,Servico Alteração Contractual,2022,1,7
Barrancos,Servico Alteração Contractual,2022,2,10
Barrancos,Servico Alteração Contractual,2023,1,15
Barrancos,Servico Alteração Contractual,2023,2,11
Barrancos,Servico Alteração Contractual,2024,1,2
Barrancos,Serviço de Corte e Re-Ligação,2022,1,9
Barrancos,Serviço de Corte e Re-Ligação,2022,2,7
Barrancos,Serviço de Corte e Re-Ligação,2023,1,9
Barrancos,Serviço de Corte e Re-Ligação,2023,2,15
Barrancos,Serviço de Corte e Re-Ligação,2024,1,4
Barreiro,Configuração de EMI,2022,1,19
Barreiro,Configuração de EMI,2022,2,2210
Barreiro,Configuração de EMI,2023,1,2857
Barreiro,Configuração de EMI,2023,2,51
Barreiro,Configuração de EMI,2024,1,10
Barreiro,Outros,2022,1,4
Barreiro,Outros,2022,2,6
Barreiro,Outros,2023,1,4
Barreiro,REMOTE_ICP_CONFIGURATION,2022,2,6
Barreiro,REMOTE_ICP_CONFIGURATION,2023,1,42
Barreiro,REMOTE_ICP_CONFIGURATION,2023,2,88
Barreiro,REMOTE_ICP_CONFIGURATION,2024,1,5
Barreiro,Redução de Potência Contratada,2022,1,1707
Barreiro,Redução de Potência Contratada,2022,2,3111
Barreiro,Redução de Potência Contratada,2023,1,3965
Barreiro,Redução de Potência Contratada,2023,2,3387
Barreiro,Redução de Potência Contratada,2024,1,1263
Barreiro,Reposição de Potência Contratada,2022,1,1334
Barreiro,Reposição de Potência Contratada,2022,2,2564
Barreiro,Reposição de Potência Contratada,2023,1,3095
Barreiro,Reposição de Potência Contratada,2023,2,2706
Barreiro,Reposição de Potência Contratada,2024,1,856
Barreiro,Servico Alteração Contractual,2022,1,861
Barreiro,Servico Alteração Contractual,2022,2,1642
Barreiro,Servico Alteração Contractual,2023,1,1674
Barreiro,Servico Alteração Contractual,2023,2,1616
Barreiro,Servico Alteração Contractual,2024,1,521
Barreiro,Serviço de Corte e Re-Ligação,2022,1,542
Barreiro,Serviço de Corte e Re-Ligação,2022,2,768
Barreiro,Serviço de Corte e Re-Ligação,2023,1,883
Barreiro,Serviço de Corte e Re-Ligação,2023,2,779
Barreiro,Serviço de Corte e Re-Ligação,2024,1,202
Batalha,Configuração de EMI,2022,1,34
Batalha,Configuração de EMI,2022,2,128
Batalha,Configuração de EMI,2023,1,317
Batalha,Configuração de EMI,2023,2,73
Batalha,Configuração de EMI,2024,1,15
Batalha,REMOTE_ICP_CONFIGURATION,2023,1,4
Batalha,REMOTE_ICP_CONFIGURATION,2023,2,9
Batalha,Redução de Potência Contratada,2022,1,186
Batalha,Redução de Potência Contratada,2022,2,258
Batalha,Redução de Potência Contratada,2023,1,287
Batalha,Redução de Potência Contratada,2023,2,298
Batalha,Redução de Potência Contratada,2024,1,87
Batalha,Reposição de Potência Contratada,2022,1,154
Batalha,Reposição de Potência Contratada,2022,2,225
Batalha,Reposição de Potência Contratada,2023,1,239
Batalha,Reposição de Potência Contratada,2023,2,240
Batalha,Reposição de Potência Contratada,2024,1,68
Batalha,Servico Alteração Contractual,2022,1,123
Batalha,Servico Alteração Contractual,2022,2,245
Batalha,Servico Alteração Contractual,2023,1,205
Batalha,Servico Alteração Contractual,2023,2,224
Batalha,Servico Alteração Contractual,2024,1,69
Batalha,Serviço de Corte e Re-Ligação,2022,1,77
Batalha,Serviço de Corte e Re-Ligação,2022,2,72
Batalha,Serviço de Corte e Re-Ligação,2023,1,102
Batalha,Serviço de Corte e Re-Ligação,2023,2,76
Batalha,Serviço de Corte e Re-Ligação,2024,1,15
Beja,Configuração de EMI,2022,1,16
Beja,Configuração de EMI,2022,2,1001
Beja,Configuração de EMI,2023,1,1927
Beja,Configuração de EMI,2023,2,51
Beja,Configuração de EMI,2024,1,19
Beja,Outros,2022,2,1
Beja,Outros,2023,1,3
Beja,Outros,2023,2,1
Beja,REMOTE_ICP_CONFIGURATION,2022,2,2
Beja,REMOTE_ICP_CONFIGURATION,2023,1,8
Beja,REMOTE_ICP_CONFIGURATION,2023,2,41
Beja,Redução de Potência Contratada,2022,1,937
Beja,Redução de Potência Contratada,2022,2,1460
Beja,Redução de Potência Contratada,2023,1,1740
Beja,Redução de Potência Contratada,2023,2,1542
Beja,Redução de Potência Contratada,2024,1,511
Beja,Reposição de Potência Contratada,2022,1,792
Beja,Reposição de Potência Contratada,2022,2,1199
Beja,Reposição de Potência Contratada,2023,1,1416
Beja,Reposição de Potência Contratada,2023,2,1274
Beja,Reposição de Potência Contratada,2024,1,394
Beja,Servico Alteração Contractual,2022,1,299
Beja,Servico Alteração Contractual,2022,2,660
Beja,Servico Alteração Contractual,2023,1,598
Beja,Servico Alteração Contractual,2023,2,616
Beja,Servico Alteração Contractual,2024,1,230
Beja,Serviço de Corte e Re-Ligação,2022,1,284
Beja,Serviço de Corte e Re-Ligação,2022,2,395
Beja,Serviço de Corte e Re-Ligação,2023,1,542
Beja,Serviço de Corte e Re-Ligação,2023,2,422
Beja,Serviço de Corte e Re-Ligação,2024,1,106
Belmonte,Configuração de EMI,2022,1,7
Belmonte,Configuração de EMI,2022,2,208
Belmonte,Configuração de EMI,2023,1,312
Belmonte,Configuração de EMI,2023,2,22
Belmonte,Configuração de EMI,2024,1,4
Belmonte,REMOTE_ICP_CONFIGURATION,2022,2,2
Belmonte,REMOTE_ICP_CONFIGURATION,2023,1,2
Belmonte,REMOTE_ICP_CONFIGURATION,2023,2,2
Belmonte,Redução de Potência Contratada,2022,1,67
Belmonte,Redução de Potência Contratada,2022,2,115
Belmonte,Redução de Potência Contratada,2023,1,118
Belmonte,Redução de Potência Contratada,2023,2,121
Belmonte,Redução de Potência Contratada,2024,1,33
Belmonte,Reposição de Potência Contratada,2022,1,58
Belmonte,Reposição de Potência Contratada,2022,2,99
Belmonte,Reposição de Potência Contratada,2023,1,101
Belmonte,Reposição de Potência Contratada,2023,2,100
Belmonte,Reposição de Potência Contratada,2024,1,31
Belmonte,Servico Alteração Contractual,2022,1,42
Belmonte,Servico Alteração Contractual,2022,2,102
Belmonte,Servico Alteração Contractual,2023,1,93
Belmonte,Servico Alteração Contractual,2023,2,153
Belmonte,Servico Alteração Contractual,2024,1,53
Belmonte,Serviço de Corte e Re-Ligação,2022,1,24
Belmonte,Serviço de Corte e Re-Ligação,2022,2,46
Belmonte,Serviço de Corte e Re-Ligação,2023,1,40
Belmonte,Serviço de Corte e Re-Ligação,2023,2,39
Belmonte,Serviço de Corte e Re-Ligação,2024,1,8
Benavente,Configuração de EMI,2022,1,33
Benavente,Configuração de EMI,2022,2,286
Benavente,Configuração de EMI,2023,1,947
Benavente,Configuração de EMI,2023,2,33
Benavente,Configuração de EMI,2024,1,10
Benavente,Outros,2022,2,1
Benavente,Outros,2023,1,1
Benavente,REMOTE_ICP_CONFIGURATION,2022,2,2
Benavente,REMOTE_ICP_CONFIGURATION,2023,1,3
Benavente,REMOTE_ICP_CONFIGURATION,2023,2,29
Benavente,REMOTE_ICP_CONFIGURATION,2024,1,4
Benavente,Redução de Potência Contratada,2022,1,330
Benavente,Redução de Potência Contratada,2022,2,558
Benavente,Redução de Potência Contratada,2023,1,760
Benavente,Redução de Potência Contratada,2023,2,894
Benavente,Redução de Potência Contratada,2024,1,370
Benavente,Reposição de Potência Contratada,2022,1,285
Benavente,Reposição de Potência Contratada,2022,2,482
Benavente,Reposição de Potência Contratada,2023,1,619
Benavente,Reposição de Potência Contratada,2023,2,726
Benavente,Reposição de Potência Contratada,2024,1,259
Benavente,Servico Alteração Contractual,2022,1,185
Benavente,Servico Alteração Contractual,2022,2,332
Benavente,Servico Alteração Contractual,2023,1,341
Benavente,Servico Alteração Contractual,2023,2,461
Benavente,Servico Alteração Contractual,2024,1,200
Benavente,Serviço de Corte e Re-Ligação,2022,1,102
Benavente,Serviço de Corte e Re-Ligação,2022,2,169
Benavente,Serviço de Corte e Re-Ligação,2023,1,223
Benavente,Serviço de Corte e Re-Ligação,2023,2,188
Benavente,Serviço de Corte e Re-Ligação,2024,1,50
Bombarral,Configuração de EMI,2022,1,12
Bombarral,Configuração de EMI,2022,2,403
Bombarral,Configuração de EMI,2023,1,946
Bombarral,Configuração de EMI,2023,2,27
Bombarral,Configuração de EMI,2024,1,7
Bombarral,Outros,2022,2,1
Bombarral,Outros,2023,1,1
Bombarral,REMOTE_ICP_CONFIGURATION,2022,2,12
Bombarral,REMOTE_ICP_CONFIGURATION,2023,1,8
Bombarral,REMOTE_ICP_CONFIGURATION,2023,2,17
Bombarral,Redução de Potência Contratada,2022,1,191
Bombarral,Redução de Potência Contratada,2022,2,323
Bombarral,Redução de Potência Contratada,2023,1,442
Bombarral,Redução de Potência Contratada,2023,2,502
Bombarral,Redução de Potência Contratada,2024,1,175
Bombarral,Reposição de Potência Contratada,2022,1,155
Bombarral,Reposição de Potência Contratada,2022,2,277
Bombarral,Reposição de Potência Contratada,2023,1,368
Bombarral,Reposição de Potência Contratada,2023,2,401
Bombarral,Reposição de Potência Contratada,2024,1,124
Bombarral,Servico Alteração Contractual,2022,1,112
Bombarral,Servico Alteração Contractual,2022,2,212
Bombarral,Servico Alteração Contractual,2023,1,235
Bombarral,Servico Alteração Contractual,2023,2,265
Bombarral,Servico Alteração Contractual,2024,1,108
Bombarral,Serviço de Corte e Re-Ligação,2022,1,70
Bombarral,Serviço de Corte e Re-Ligação,2022,2,104
Bombarral,Serviço de Corte e Re-Ligação,2023,1,152
Bombarral,Serviço de Corte e Re-Ligação,2023,2,138
Bombarral,Serviço de Corte e Re-Ligação,2024,1,32
Borba,Configuração de EMI,2022,1,5
Borba,Configuração de EMI,2022,2,115
Borba,Configuração de EMI,2023,1,112
Borba,Configuração de EMI,2023,2,14
Borba,Configuração de EMI,2024,1,4
Borba,Outros,2022,1,1
Borba,Outros,2022,2,1
Borba,REMOTE_ICP_CONFIGURATION,2022,2,2
Borba,REMOTE_ICP_CONFIGURATION,2023,1,3
Borba,REMOTE_ICP_CONFIGURATION,2023,2,4
Borba,Redução de Potência Contratada,2022,1,134
Borba,Redução de Potência Contratada,2022,2,159
Borba,Redução de Potência Contratada,2023,1,204
Borba,Redução de Potência Contratada,2023,2,196
Borba,Redução de Potência Contratada,2024,1,59
Borba,Reposição de Potência Contratada,2022,1,117
Borba,Reposição de Potência Contratada,2022,2,144
Borba,Reposição de Potência Contratada,2023,1,173
Borba,Reposição de Potência Contratada,2023,2,162
Borba,Reposição de Potência Contratada,2024,1,55
Borba,Servico Alteração Contractual,2022,1,50
Borba,Servico Alteração Contractual,2022,2,79
Borba,Servico Alteração Contractual,2023,1,97
Borba,Servico Alteração Contractual,2023,2,91
Borba,Servico Alteração Contractual,2024,1,29
Borba,Serviço de Corte e Re-Ligação,2022,1,36
Borba,Serviço de Corte e Re-Ligação,2022,2,37
Borba,Serviço de Corte e Re-Ligação,2023,1,50
Borba,Serviço de Corte e Re-Ligação,2023,2,51
Borba,Serviço de Corte e Re-Ligação,2024,1,11
Boticas,Configuração de EMI,2022,1,7
Boticas,Configuração de EMI,2022,2,159
Boticas,Configuração de EMI,2023,1,165
Boticas,Configuração de EMI,2023,2,12
Boticas,Outros,2022,2,1
Boticas,REMOTE_ICP_CONFIGURATION,2022,2,4
Boticas,REMOTE_ICP_CONFIGURATION,2023,1,12
Boticas,REMOTE_ICP_CONFIGURATION,2023,2,2
Boticas,REMOTE_ICP_CONFIGURATION,2024,1,1
Boticas,Redução de Potência Contratada,2022,1,38
Boticas,Redução de Potência Contratada,2022,2,80
Boticas,Redução de Potência Contratada,2023,1,101
Boticas,Redução de Potência Contratada,2023,2,88
Boticas,Redução de Potência Contratada,2024,1,34
Boticas,Reposição de Potência Contratada,2022,1,35
Boticas,Reposição de Potência Contratada,2022,2,69
Boticas,Reposição de Potência Contratada,2023,1,91
Boticas,Reposição de Potência Contratada,2023,2,60
Boticas,Reposição de Potência Contratada,2024,1,28
Boticas,Servico Alteração Contractual,2022,1,26
Boticas,Servico Alteração Contractual,2022,2,29
Boticas,Servico Alteração Contractual,2023,1,54
Boticas,Servico Alteração Contractual,2023,2,61
Boticas,Servico Alteração Contractual,2024,1,21
Boticas,Serviço de Corte e Re-Ligação,2022,1,29
Boticas,Serviço de Corte e Re-Ligação,2022,2,38
Boticas,Serviço de Corte e Re-Ligação,2023,1,40
Boticas,Serviço de Corte e Re-Ligação,2023,2,51
Boticas,Serviço de Corte e Re-Ligação,2024,1,15
Braga,Configuração de EMI,2022,1,95
Braga,Configuração de EMI,2022,2,2694
Braga,Configuração de EMI,2023,1,4919
Braga,Configuração de EMI,2023,2,289
Braga,Configuração de EMI,2024,1,39
Braga,Outros,2022,1,3
Braga,Outros,2022,2,4
Braga,Outros,2023,1,6
Braga,REMOTE_ICP_CONFIGURATION,2022,2,4
Braga,REMOTE_ICP_CONFIGURATION,2023,1,49
Braga,REMOTE_ICP_CONFIGURATION,2023,2,81
Braga,REMOTE_ICP_CONFIGURATION,2024,1,3
Braga,Redução de Potência Contratada,2022,1,2227
Braga,Redução de Potência Contratada,2022,2,3993
Braga,Redução de Potência Contratada,2023,1,4426
Braga,Redução de Potência Contratada,2023,2,4013
Braga,Redução de Potência Contratada,2024,1,1526
Braga,Reposição de Potência Contratada,2022,1,1653
Braga,Reposição de Potência Contratada,2022,2,2976
Braga,Reposição de Potência Contratada,2023,1,3070
Braga,Reposição de Potência Contratada,2023,2,2846
Braga,Reposição de Potência Contratada,2024,1,990
Braga,Servico Alteração Contractual,2022,1,1420
Braga,Servico Alteração Contractual,2022,2,2929
Braga,Servico Alteração Contractual,2023,1,2955
Braga,Servico Alteração Contractual,2023,2,3197
Braga,Servico Alteração Contractual,2024,1,1252
Braga,Serviço de Corte e Re-Ligação,2022,1,618
Braga,Serviço de Corte e Re-Ligação,2022,2,910
Braga,Serviço de Corte e Re-Ligação,2023,1,1194
Braga,Serviço de Corte e Re-Ligação,2023,2,1017
Braga,Serviço de Corte e Re-Ligação,2024,1,268
Bragança,Configuração de EMI,2022,1,54
Bragança,Configuração de EMI,2022,2,686
Bragança,Configuração de EMI,2023,1,1916
Bragança,Configuração de EMI,2023,2,135
Bragança,Configuração de EMI,2024,1,22
Bragança,Outros,2022,2,1
Bragança,Outros,2023,1,1
Bragança,REMOTE_ICP_CONFIGURATION,2022,2,1
Bragança,REMOTE_ICP_CONFIGURATION,2023,1,9
Bragança,REMOTE_ICP_CONFIGURATION,2023,2,21
Bragança,REMOTE_ICP_CONFIGURATION,2024,1,1
Bragança,Redução de Potência Contratada,2022,1,764
Bragança,Redução de Potência Contratada,2022,2,1191
Bragança,Redução de Potência Contratada,2023,1,1426
Bragança,Redução de Potência Contratada,2023,2,1226
Bragança,Redução de Potência Contratada,2024,1,475
Bragança,Reposição de Potência Contratada,2022,1,584
Bragança,Reposição de Potência Contratada,2022,2,883
Bragança,Reposição de Potência Contratada,2023,1,1020
Bragança,Reposição de Potência Contratada,2023,2,927
Bragança,Reposição de Potência Contratada,2024,1,330
Bragança,Servico Alteração Contractual,2022,1,364
Bragança,Servico Alteração Contractual,2022,2,892
Bragança,Servico Alteração Contractual,2023,1,712
Bragança,Servico Alteração Contractual,2023,2,931
Bragança,Servico Alteração Contractual,2024,1,282
Bragança,Serviço de Corte e Re-Ligação,2022,1,236
Bragança,Serviço de Corte e Re-Ligação,2022,2,383
Bragança,Serviço de Corte e Re-Ligação,2023,1,419
Bragança,Serviço de Corte e Re-Ligação,2023,2,362
Bragança,Serviço de Corte e Re-Ligação,2024,1,90
Cabeceiras de Basto,Configuração de EMI,2022,1,15
Cabeceiras de Basto,Configuração de EMI,2022,2,365
Cabeceiras de Basto,Configuração de EMI,2023,1,554
Cabeceiras de Basto,Configuração de EMI,2023,2,26
Cabeceiras de Basto,Configuração de EMI,2024,1,6
Cabeceiras de Basto,Outros,2022,1,2
Cabeceiras de Basto,Outros,2022,2,2
Cabeceiras de Basto,Outros,2023,1,1
Cabeceiras de Basto,REMOTE_ICP_CONFIGURATION,2022,2,1
Cabeceiras de Basto,REMOTE_ICP_CONFIGURATION,2023,1,7
Cabeceiras de Basto,REMOTE_ICP_CONFIGURATION,2023,2,10
Cabeceiras de Basto,Redução de Potência Contratada,2022,1,65
Cabeceiras de Basto,Redução de Potência Contratada,2022,2,163
Cabeceiras de Basto,Redução de Potência Contratada,2023,1,212
Cabeceiras de Basto,Redução de Potência Contratada,2023,2,264
Cabeceiras de Basto,Redução de Potência Contratada,2024,1,92
Cabeceiras de Basto,Reposição de Potência Contratada,2022,1,59
Cabeceiras de Basto,Reposição de Potência Contratada,2022,2,138
Cabeceiras de Basto,Reposição de Potência Contratada,2023,1,171
Cabeceiras de Basto,Reposição de Potência Contratada,2023,2,209
Cabeceiras de Basto,Reposição de Potência Contratada,2024,1,60
Cabeceiras de Basto,Servico Alteração Contractual,2022,1,55
Cabeceiras de Basto,Servico Alteração Contractual,2022,2,103
Cabeceiras de Basto,Servico Alteração Contractual,2023,1,129
Cabeceiras de Basto,Servico Alteração Contractual,2023,2,148
Cabeceiras de Basto,Servico Alteração Contractual,2024,1,59
Cabeceiras de Basto,Serviço de Corte e Re-Ligação,2022,1,52
Cabeceiras de Basto,Serviço de Corte e Re-Ligação,2022,2,66
Cabeceiras de Basto,Serviço de Corte e Re-Ligação,2023,1,91
Cabeceiras de Basto,Serviço de Corte e Re-Ligação,2023,2,69
Cabeceiras de Basto,Serviço de Corte e Re-Ligação,2024,1,28
Cadaval,Configuração de EMI,2022,1,9
Cadaval,Configuração de EMI,2022,2,326
Cadaval,Configuração de EMI,2023,1,1075
Cadaval,Configuração de EMI,2023,2,30
Cadaval,Configuração de EMI,2024,1,5
Cadaval,Outros,2022,2,1
Cadaval,Outros,2023,2,1
Cadaval,REMOTE_ICP_CONFIGURATION,2023,1,9
Cadaval,REMOTE_ICP_CONFIGURATION,2023,2,8
Cadaval,Redução de Potência Contratada,2022,1,47
Cadaval,Redução de Potência Contratada,2022,2,120
Cadaval,Redução de Potência Contratada,2023,1,235
Cadaval,Redução de Potência Contratada,2023,2,282
Cadaval,Redução de Potência Contratada,2024,1,137
Cadaval,Reposição de Potência Contratada,2022,1,42
Cadaval,Reposição de Potência Contratada,2022,2,103
Cadaval,Reposição de Potência Contratada,2023,1,201
Cadaval,Reposição de Potência Contratada,2023,2,232
Cadaval,Reposição de Potência Contratada,2024,1,100
Cadaval,Servico Alteração Contractual,2022,1,28
Cadaval,Servico Alteração Contractual,2022,2,80
Cadaval,Servico Alteração Contractual,2023,1,91
Cadaval,Servico Alteração Contractual,2023,2,182
Cadaval,Servico Alteração Contractual,2024,1,66
Cadaval,Serviço de Corte e Re-Ligação,2022,1,20
Cadaval,Serviço de Corte e Re-Ligação,2022,2,45
Cadaval,Serviço de Corte e Re-Ligação,2023,1,81
Cadaval,Serviço de Corte e Re-Ligação,2023,2,89
Cadaval,Serviço de Corte e Re-Ligação,2024,1,24
Caldas da Rainha,Configuração de EMI,2022,1,29
Caldas da Rainha,Configuração de EMI,2022,2,772
Caldas da Rainha,Configuração de EMI,2023,1,3161
Caldas da Rainha,Configuração de EMI,2023,2,131
Caldas da Rainha,Configuração de EMI,2024,1,45
Caldas da Rainha,Outros,2022,2,3
Caldas da Rainha,Outros,2023,1,1
Caldas da Rainha,Outros,2023,2,2
Caldas da Rainha,REMOTE_ICP_CONFIGURATION,2022,2,4
Caldas da Rainha,REMOTE_ICP_CONFIGURATION,2023,1,17
Caldas da Rainha,REMOTE_ICP_CONFIGURATION,2023,2,32
Caldas da Rainha,REMOTE_ICP_CONFIGURATION,2024,1,4
Caldas da Rainha,Redução de Potência Contratada,2022,1,848
Caldas da Rainha,Redução de Potência Contratada,2022,2,1527
Caldas da Rainha,Redução de Potência Contratada,2023,1,1885
Caldas da Rainha,Redução de Potência Contratada,2023,2,1828
Caldas da Rainha,Redução de Potência Contratada,2024,1,686
Caldas da Rainha,Reposição de Potência Contratada,2022,1,675
Caldas da Rainha,Reposição de Potência Contratada,2022,2,1210
Caldas da Rainha,Reposição de Potência Contratada,2023,1,1532
Caldas da Rainha,Reposição de Potência Contratada,2023,2,1465
Caldas da Rainha,Reposição de Potência Contratada,2024,1,487
Caldas da Rainha,Servico Alteração Contractual,2022,1,462
Caldas da Rainha,Servico Alteração Contractual,2022,2,979
Caldas da Rainha,Servico Alteração Contractual,2023,1,1072
Caldas da Rainha,Servico Alteração Contractual,2023,2,1146
Caldas da Rainha,Servico Alteração Contractual,2024,1,442
Caldas da Rainha,Serviço de Corte e Re-Ligação,2022,1,258
Caldas da Rainha,Serviço de Corte e Re-Ligação,2022,2,402
Caldas da Rainha,Serviço de Corte e Re-Ligação,2023,1,483
Caldas da Rainha,Serviço de Corte e Re-Ligação,2023,2,461
Caldas da Rainha,Serviço de Corte e Re-Ligação,2024,1,132
Caminha,Configuração de EMI,2022,1,22
Caminha,Configuração de EMI,2022,2,376
Caminha,Configuração de EMI,2023,1,2518
Caminha,Configuração de EMI,2023,2,48
Caminha,Configuração de EMI,2024,1,9
Caminha,Outros,2022,2,1
Caminha,Outros,2023,1,3
Caminha,REMOTE_ICP_CONFIGURATION,2023,1,8
Caminha,REMOTE_ICP_CONFIGURATION,2023,2,21
Caminha,REMOTE_ICP_CONFIGURATION,2024,1,1
Caminha,Redução de Potência Contratada,2022,1,102
Caminha,Redução de Potência Contratada,2022,2,216
Caminha,Redução de Potência Contratada,2023,1,392
Caminha,Redução de Potência Contratada,2023,2,486
