concelho,nivel_de_tensao,ano,mes,energia_ativa_kwh
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2021,2,229105.743
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2021,3,230249.251
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2021,4,232814.268
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2021,5,246293.118
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2021,6,226983.148
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2021,7,257988.243
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2021,8,286670.057
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2021,9,269134.166
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2021,10,259518.45
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2021,11,266547.513
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2021,12,296867.037
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,1,285680.297
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,2,245922.525
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,3,261366.762
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,4,248836.782
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,5,253785.086
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,6,233255.548
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,7,245205.228
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,8,246588.048
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,9,215850.057
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,10,228321.053
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,11,239289.012
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,12,257138.602
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,1,225363.453
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,2,195666.368
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,3,197758.046
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,4,174455.765
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,5,174014.754
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,6,171164.614
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,7,184719.455
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,8,202506.028
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,9,188051.685
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,10,210530.701
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,11,229750.966
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,12,234395.165
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2024,1,236886.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2024,2,71870.0
Alandroal,Baixa Tensão,2020,11,1110513.299
Alandroal,Baixa Tensão,2020,12,1300451.42
Alandroal,Baixa Tensão,2021,1,1367669.267
Alandroal,Baixa Tensão,2021,2,1139624.036
Alandroal,Baixa Tensão,2021,3,1149087.281
Alandroal,Baixa Tensão,2021,4,1043856.6209999999
Alandroal,Baixa Tensão,2021,5,1142105.799
Alandroal,Baixa Tensão,2021,6,1267339.4780000001
Alandroal,Baixa Tensão,2021,7,1457135.8080000002
Alandroal,Baixa Tensão,2021,8,1444263.047
Alandroal,Baixa Tensão,2021,9,1201503.521
Alandroal,Baixa Tensão,2021,10,1141767.392
Alandroal,Baixa Tensão,2021,11,1204700.046
Alandroal,Baixa Tensão,2021,12,1320408.704
Alandroal,Baixa Tensão,2022,1,1345937.124
Alandroal,Baixa Tensão,2022,2,1196278.143
Alandroal,Baixa Tensão,2022,3,1258382.69
Alandroal,Baixa Tensão,2022,4,1156913.861
Alandroal,Baixa Tensão,2022,5,1243153.645
Alandroal,Baixa Tensão,2022,6,1349011.537
Alandroal,Baixa Tensão,2022,7,1582530.007
Alandroal,Baixa Tensão,2022,8,1474938.931
Alandroal,Baixa Tensão,2022,9,1204931.6970000002
Alandroal,Baixa Tensão,2022,10,1114366.5350000001
Alandroal,Baixa Tensão,2022,11,1099465.322
Alandroal,Baixa Tensão,2022,12,1242777.508
Alandroal,Baixa Tensão,2023,1,1353131.45
Alandroal,Baixa Tensão,2023,2,1203387.782
Alandroal,Baixa Tensão,2023,3,1212625.74
Alandroal,Baixa Tensão,2023,4,1121159.187
Alandroal,Baixa Tensão,2023,5,1188754.6639999999
