concelho,ano,mes,inclui_mobilidade_eletrica,cpes_com_dcs_recolhidos_quantidade
Alcanena,2023,6,Sim,1
Alcanena,2023,7,Não,4121
Alcanena,2023,7,Sim,1
Alcanena,2023,8,Não,4296
Alcanena,2023,8,Sim,1
Alcanena,2023,9,Não,4492
Alcanena,2023,9,Sim,1
Alcanena,2023,10,Não,4899
Alcanena,2023,10,Sim,2
Alcanena,2023,11,Não,5599
Alcanena,2023,11,Sim,2
Alcanena,2023,12,Não,5889
Alcanena,2023,12,Sim,2
Alcanena,2024,1,Não,6333
Alcanena,2024,1,Sim,2
Alcanena,2024,2,Não,6490
Alcanena,2024,2,Sim,2
Alcanena,2024,3,Não,6780
Alcanena,2024,3,Sim,2
Alcanena,2024,4,Não,6785
Alcanena,2024,4,Sim,2
Alcobaça,2022,8,Não,17047
Alcobaça,2022,8,Sim,3
Alcobaça,2022,9,Não,16902
Alcobaça,2022,9,Sim,3
Alcobaça,2022,10,Não,17125
Alcobaça,2022,10,Sim,3
Alcobaça,2022,11,Não,17575
Alcobaça,2022,11,Sim,2
Alcobaça,2022,12,Não,17895
Alcobaça,2022,12,Sim,2
Alcobaça,2023,1,Não,18900
Alcobaça,2023,1,Sim,2
Alcobaça,2023,2,Não,19818
Alcobaça,2023,2,Sim,2
Alcobaça,2023,3,Não,20687
Alcobaça,2023,3,Sim,2
Alcobaça,2023,4,Não,21752
Alcobaça,2023,4,Sim,3
Alcobaça,2023,5,Não,22064
Alcobaça,2023,5,Sim,3
Alcobaça,2023,6,Não,22810
Alcobaça,2023,6,Sim,4
Alcobaça,2023,7,Não,23520
Alcobaça,2023,7,Sim,4
Alcobaça,2023,8,Não,23848
Alcobaça,2023,8,Sim,5
Alcobaça,2023,9,Não,25020
Alcobaça,2023,9,Sim,5
Alcobaça,2023,10,Não,25758
Alcobaça,2023,10,Sim,6
Alcobaça,2023,11,Não,26493
Alcobaça,2023,11,Sim,6
Alcobaça,2023,12,Não,27195
Alcobaça,2023,12,Sim,6
Alcobaça,2024,1,Não,28012
Alcobaça,2024,1,Sim,6
Alcobaça,2024,2,Não,28844
