energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
4688454,0,43,0,46,1,129
4484348,0,43,0,46,1,129
4179265,0,43,0,46,1,129
4392062,0,43,0,46,1,129
4315332,0,43,0,46,1,129
4854863,0,43,0,46,1,129
4144902,0,43,0,46,1,129
4356101,0,43,0,46,1,129
4470688,0,43,0,46,1,129
4309715,0,43,0,46,1,129
3523646,0,43,0,46,1,129
4801253,0,43,0,46,1,129
4744741,0,43,0,46,1,129
4526434,0,44,0,46,1,129
4094351,0,44,0,46,1,129
2622194,0,34,0,34,1,70
2480375,0,35,0,34,1,70
2612863,0,35,0,34,1,70
2406747,0,35,0,34,1,70
2291525,0,35,0,34,1,70
2362580,0,34,0,34,1,70
2227851,0,34,0,34,1,70
2444494,0,34,0,34,1,70
2424483,0,34,0,34,1,70
2681316,0,34,0,34,1,70
1775950,0,34,0,34,1,70
1766389,0,34,0,34,1,70
1756085,0,33,0,34,1,70
2453708,0,33,0,34,1,70
2251631,0,33,0,34,1,70
2564689,0,33,0,34,1,70
2428294,0,34,0,34,1,70
697018,0,39,0,49,1,26
674518,0,39,0,49,1,26
743596,0,39,0,49,1,26
676377,0,39,0,49,1,26
678614,0,39,0,49,1,26
666757,0,39,0,49,1,26
573619,0,39,0,49,1,26
567053,0,39,0,49,1,26
506473,0,39,0,49,1,26
503682,0,39,0,49,1,26
517872,0,39,0,49,1,26
551037,0,39,0,49,1,26
634613,0,39,0,49,1,26
779758,0,39,0,49,1,26
985679,0,39,0,49,1,26
915792,0,39,0,49,1,26
877003,0,40,0,49,1,26
828981,0,60,0,64,3,250
999325,0,60,0,64,3,250
1083008,0,60,0,64,3,250
1059302,0,60,0,64,3,250
874238,0,60,0,64,3,250
1169731,0,60,0,64,3,250
1045751,0,61,0,64,3,250
1044891,0,61,0,64,3,250
906949,0,61,0,64,3,250
926138,0,61,0,64,3,250
979817,0,60,0,64,3,250
867422,0,59,0,64,3,250
759805,0,59,0,64,3,250
913370,0,59,0,64,3,250
1064380,0,59,0,64,3,250
1091146,0,59,0,64,3,250
966290,0,59,0,64,3,250
773398,0,59,0,10,5,74
660211,0,59,0,10,5,74
600446,0,59,0,10,5,74
556587,0,59,0,10,5,74
601384,0,59,0,10,5,74
631410,0,58,0,10,5,74
554541,0,59,0,10,5,74
599128,0,59,0,10,5,74
561569,0,59,0,10,5,74
615875,0,59,0,10,5,74
669026,0,61,0,10,5,74
841112,0,61,0,10,5,74
850957,0,61,0,10,5,74
691611,0,61,0,10,5,74
664828,0,62,0,10,5,74
625896,0,62,0,10,5,74
606238,0,62,0,10,5,74
18084,0,12,0,9,0,9
14408,0,12,0,9,0,9
15183,0,12,0,9,0,9
18137,0,11,0,9,0,9
14829,0,11,0,9,0,9
13056,0,11,0,9,0,9
13070,0,11,0,9,0,9
13750,0,11,0,9,0,9
21245,0,11,0,9,0,9
22600,0,11,0,9,0,9
21261,0,11,0,9,0,9
24753,0,11,0,9,0,9
19445,0,11,0,9,0,9
16435,0,11,0,9,0,9
16778,0,11,0,9,0,9
19079,0,11,0,9,0,9
15924,0,11,0,9,0,9
854523,0,35,0,188,0,102
825129,0,35,0,188,0,102
846836,0,35,0,188,0,102
815495,0,35,0,188,0,102
833257,0,35,0,188,0,102
818301,0,35,0,188,0,102
694571,0,36,0,188,0,102
