energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao,densidade_populacional_pessoas_km2
11382482,84687,451,17518,396,133132,184,3755
899860,4285,157,1185,16,1596,4,10
830527,4285,157,1184,16,1360,4,10
878304,4280,157,1184,16,1736,4,10
912681,4277,157,1181,14,1868,4,10
997087,4276,157,1182,14,1958,4,10
1028185,4276,157,1179,13,1828,4,10
909827,4271,157,1182,12,2232,4,10
919671,4270,157,1182,12,2354,4,10
818360,4270,157,1182,12,2404,4,10
816260,4270,157,1182,12,2648,4,10
795172,4282,157,1184,14,2818,4,10
900016,4289,157,1184,14,3584,4,10
944288,4285,157,1183,12,3712,4,10
843099,4284,157,1181,10,4456,4,10
897785,4281,157,1177,10,5500,4,10
966725,4281,157,1178,11,6404,4,10
1096811,4281,157,1178,11,6724,4,10
1051930,4277,157,1178,8,7172,4,10
328748,4270,157,1175,8,7330,4,10
8776084,24049,236,5718,100,19352,4,341
7787198,24052,236,5723,96,19374,4,341
7635587,24066,236,5727,97,20766,4,341
7463535,24065,236,5719,96,22704,4,341
8165038,24068,237,5728,99,23484,4,341
8815249,24083,237,5732,93,25308,4,341
8061880,24102,237,5734,92,25616,4,341
7898588,24113,237,5746,91,26628,4,341
7158425,24114,237,5746,91,27990,4,341
7618034,24114,237,5746,91,27764,4,341
8136435,24213,237,5775,92,30244,4,341
9615417,24233,237,5777,92,32212,4,341
9792619,24245,237,5788,90,33900,4,341
8232891,24260,237,5794,89,36826,4,341
7831930,24262,237,5798,89,38078,4,341
7639194,24274,237,5813,88,37754,46,341
8941145,24276,237,5818,91,40652,54,341
8967917,24287,239,5824,85,41276,54,341
3058472,24280,238,5829,84,41874,54,341
9022198,26451,338,5822,269,28484,2,414
8771733,26466,338,5819,275,28230,2,414
9586595,26474,338,5810,270,28936,2,414
10101502,26512,338,5804,276,29526,2,414
11473923,26546,338,5801,277,29438,2,414
12139686,26563,338,5809,272,29952,2,414
10432281,26565,338,5812,275,30640,2,414
10561204,26570,339,5812,274,31342,2,414
9071780,26569,339,5812,274,31840,2,414
9167311,26569,339,5812,274,32780,2,414
9004518,26622,339,5845,284,34800,2,414
9275579,26627,339,5869,288,35266,2,414
8952658,26618,339,5866,275,35522,2,414
8917928,26628,339,5842,283,36974,2,414
9931831,26662,339,5837,268,38668,4,414
10790524,26674,339,5834,288,39082,6,414
12278733,26680,339,5830,283,39980,6,414
12184502,26699,339,5836,271,39998,6,414
4137787,26709,339,5829,272,40202,8,414
1548920,5143,133,1359,37,1958,2,66
1480950,5151,133,1360,33,2046,2,66
1562992,5150,133,1356,31,2398,2,66
1627006,5154,133,1361,32,2652,2,66
1793447,5156,133,1364,31,2680,2,66
1843587,5153,133,1363,31,2792,2,66
1639168,5155,133,1366,32,3172,2,66
1656300,5154,133,1364,31,3796,2,66
1422570,5154,133,1364,31,4822,2,66
1433048,5154,133,1364,31,5670,2,66
1432607,5161,133,1377,33,6964,2,66
1533467,5168,134,1378,30,7378,2,66
1575210,5167,134,1385,31,6942,2,66
1468708,5167,134,1390,30,7884,2,66
1582882,5170,134,1393,30,8588,2,66
1726350,5167,134,1395,32,9676,2,66
2023024,5170,134,1396,30,10018,2,66
1964552,5172,134,1399,29,10500,2,66
692557,5175,134,1401,30,10818,2,66
3639582,10447,160,2812,118,13870,2,274
3498167,10456,160,2801,120,14080,2,274
3724083,10458,160,2803,119,13938,2,274
4024635,10470,160,2790,117,15118,2,274
4592089,10474,161,2787,117,15210,2,274
4899063,10490,161,2780,116,15548,2,274
4301887,10506,161,2782,116,15928,2,274
4218868,10514,161,2778,113,16040,2,274
3513969,10514,161,2778,113,16772,2,274
3547212,10514,161,2778,113,16522,2,274
3553816,10547,161,2813,117,18856,2,274
3759938,10563,161,2817,115,19522,2,274
3725303,10567,161,2805,115,19390,2,274
3582788,10569,161,2807,116,20748,2,274
3942635,10578,161,2795,113,20344,2,274
4328819,10587,161,2790,115,21798,2,274
5209336,10594,161,2790,112,22602,2,274
5120819,10615,161,2790,108,23346,2,274
1766626,10625,163,2786,110,23694,2,274
3326590,11181,177,3217,66,5344,2,83
3210382,11182,177,3215,63,5244,2,83
3343500,11198,177,3216,61,5518,2,83
3464943,11201,177,3213,58,6150,2,83
3810569,11203,177,3214,57,6338,2,83
3999921,11203,177,3222,58,6478,2,83
3486005,11207,179,3223,57,6814,2,83
3485459,11215,179,3223,57,8742,2,83
3048146,11215,179,3223,57,9178,2,83
3022973,11215,179,3223,57,10214,2,83
2986800,11219,183,3233,53,10810,2,83
3140427,11224,183,3227,57,11198,2,83
3233315,11237,183,3229,52,11694,2,83
3089443,11243,183,3231,50,12446,2,83
3372169,11254,183,3230,50,13582,4,83
3673590,11259,183,3234,50,14800,4,83
4200623,11261,183,3236,50,15090,4,83
4142383,11267,183,3240,50,15652,4,83
1364109,11259,183,3239,49,16182,4,83
1023425,3237,118,745,14,1168,0,7
957968,3241,118,750,13,1260,0,7
980488,3239,118,751,11,1464,0,7
980856,3239,118,751,11,1568,0,7
1066951,3237,118,755,14,1676,0,7
1150393,3243,118,759,11,2096,0,7
1041137,3243,118,759,11,2260,0,7
1014428,3246,119,760,13,2404,2,7
896636,3246,119,760,13,3056,2,7
912186,3246,119,760,13,3480,2,7
940375,3253,119,761,11,3742,2,7
1022719,3254,119,759,11,3986,2,7
1050345,3254,119,759,11,4596,2,7
941709,3253,119,759,11,4816,2,7
973404,3258,119,759,11,5272,2,7
1011121,3259,119,759,12,5838,2,7
1198883,3258,119,758,15,6016,2,7
1188312,3258,119,759,12,6328,2,7
408785,3255,119,763,13,6362,2,7
8355558,25607,409,5606,114,35424,2,109
7805845,25636,410,5612,112,35034,2,109
8180121,25650,411,5621,112,36140,2,109
8644234,25677,411,5624,111,37048,2,109
9789870,25689,411,5630,115,37364,2,109
10183495,25720,411,5651,106,38712,2,109
9132731,25739,411,5659,106,40152,2,109
8852619,25751,412,5663,109,40580,2,109
7658658,25751,412,5663,109,41874,2,109
7775181,25751,412,5663,109,41552,2,109
7640018,25826,412,5691,107,43648,2,109
8251220,25834,412,5691,111,43858,2,109
8721686,25887,412,5693,105,44194,2,109
8059803,25906,412,5703,104,44560,2,109
8683125,25930,413,5702,100,44656,2,109
9225899,25945,413,5714,103,46686,2,109
10869755,25932,413,5725,105,47748,2,109
10567158,25958,413,5733,103,48032,2,109
3448792,25960,413,5737,104,48672,2,109
8530047,26122,282,5416,272,32360,6,377
8246809,26123,282,5382,252,32248,6,377
8798135,26126,282,5376,247,33952,6,377
9358965,26133,282,5368,243,35474,6,377
10629695,26141,282,5358,250,36042,6,377
11270018,26168,282,5366,238,36694,6,377
9873838,26169,282,5372,235,39218,6,377
9737257,26181,283,5376,236,41344,6,377
8340361,26182,283,5376,236,42934,6,377
8318197,26182,283,5376,236,43092,6,377
8112065,26253,283,5465,239,45340,6,377
8458647,26278,284,5478,233,46212,10,377
8503807,26296,284,5464,246,46496,12,377
8219568,26309,284,5424,221,47778,14,377
8978128,26311,284,5416,222,49704,16,377
9781323,26314,284,5422,229,51336,16,377
11569805,26307,284,5424,232,52896,16,377
11483496,26333,285,5423,226,53096,16,377
3889274,26335,285,5421,221,53056,18,377
11928201,28276,482,9551,297,48214,6,152
11114352,28278,482,9555,241,47632,8,152
11188664,28297,482,9556,247,48730,8,152
11627995,28342,482,9557,243,49046,10,152
13417546,28369,482,9563,242,48588,10,152
14883391,28408,482,9581,232,49098,10,152
13360487,28426,482,9592,236,51176,12,152
12563612,28442,482,9602,229,52954,12,152
10949436,28443,482,9602,229,55378,12,152
11312408,28443,482,9602,229,54370,12,152
11587109,28518,487,9680,237,57878,12,152
12469763,28581,488,9693,228,59258,12,152
12508591,28619,489,9711,285,59616,12,152
11391242,28620,490,9707,222,61478,12,152
11667341,28679,490,9708,220,60708,12,152
12270767,28717,490,9705,216,60206,14,152
15219339,28754,490,9707,218,62580,14,152
14945451,28788,490,9706,213,63142,18,152
5021253,28818,490,9720,210,63956,20,152
846318,4449,101,780,4,3770,2,10
741510,4444,101,778,3,3520,2,10
746186,4443,101,779,3,3818,2,10
769402,4444,101,778,5,3992,2,10
820263,4436,101,779,5,3998,2,10
840667,4433,101,778,4,4184,2,10
754078,4434,101,776,2,4468,2,10
