ano,mês,energia_ativa_baixa_tensao_kwh,energia_ativa_alta_tensao_kwh,cpes_domestico_baixa_tensao,cpes_domestico_alta_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_baixa_tensao,cpes_outros_alta_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
2022,9,139066.00 - 2983911.75,3353532.66 - 9317038.68,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,81.89 - 111.81,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
2022,10,139066.00 - 2983911.75,3353532.66 - 9317038.68,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,81.89 - 111.81,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
2022,11,139066.00 - 2983911.75,3353532.66 - 9317038.68,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,81.89 - 111.81,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
2022,12,139066.00 - 2983911.75,3353532.66 - 9317038.68,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,81.89 - 111.81,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
2023,1,139066.00 - 2983911.75,3353532.66 - 9317038.68,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,81.89 - 111.81,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
2023,2,139066.00 - 2983911.75,3353532.66 - 9317038.68,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,81.89 - 111.81,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
2023,3,139066.00 - 2983911.75,3353532.66 - 9317038.68,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,81.89 - 111.81,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
2023,4,139066.00 - 2983911.75,3353532.66 - 9317038.68,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,81.89 - 111.81,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
2023,5,139066.00 - 2983911.75,3353532.66 - 9317038.68,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,81.89 - 111.81,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
2023,6,139066.00 - 2983911.75,3353532.66 - 9317038.68,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,81.89 - 111.81,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
2023,7,139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,81.89 - 111.81,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
2023,8,139066.00 - 2983911.75,0.00 - 3353532.66,5377.91 - 8752.42,0.00 - 0.54,100.27 - 147.04,174.00 - 1556.31,81.89 - 111.81,1.00 - 38.21,0.00 - 27.46,8292.53 - 16488.92,0.00 - 3.87
