energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao,densidade_populacional_pessoas_km2
0.006655706,0.019931,0.027,0.04256,0.0091,0.033508,0.004,0.0152
0.007692904,0.019936,0.0271,0.04255,0.0086,0.034472,0.004,0.0152
0.008394189,0.019967,0.0271,0.04253,0.0079,0.03488,0.004,0.0152
0.007491091,0.019983,0.0271,0.04257,0.0078,0.036408,0.004,0.0152
0.006945092,0.01999,0.0271,0.04253,0.0078,0.037614,0.004,0.0152
0.00583851,0.01999,0.0271,0.04252,0.0078,0.037146,0.004,0.0152
0.005970791,0.01999,0.0271,0.04252,0.0078,0.035714,0.004,0.0152
0.005991755,0.020044,0.0271,0.04281,0.0079,0.03901,0.004,0.0152
0.0061664,0.020066,0.0271,0.04283,0.0077,0.038616,0.004,0.0152
0.006317942,0.020084,0.0271,0.04286,0.0082,0.0396,0.004,0.0152
0.006138983,0.020102,0.0271,0.04292,0.0073,0.04106,0.004,0.0152
0.006486704,0.020122,0.0272,0.04309,0.0071,0.04203,0.006,0.0152
0.006957238,0.020145,0.0272,0.04315,0.0081,0.042646,0.006,0.0152
0.008772346,0.02017,0.0272,0.0432,0.0082,0.042844,0.006,0.0152
0.000899258,0.003254,0.0057,0.00811,0.0033,0.006742,0.002,0.0013
0.000747124,0.003251,0.0057,0.00819,0.0032,0.006808,0.002,0.0013
0.000759395,0.00325,0.0057,0.00815,0.0032,0.006764,0.002,0.0013
0.000855324,0.003249,0.0057,0.00814,0.0032,0.006738,0.002,0.0013
0.00097375,0.003251,0.0057,0.00811,0.003,0.0069,0.002,0.0013
0.001018686,0.003249,0.0057,0.00811,0.003,0.006852,0.002,0.0013
0.00087867,0.00325,0.0057,0.00809,0.0029,0.006934,0.002,0.0013
0.000834129,0.003249,0.0057,0.00814,0.0029,0.006966,0.002,0.0013
0.00069303,0.003246,0.0057,0.00814,0.0029,0.006908,0.002,0.0013
0.000673651,0.003246,0.0057,0.00814,0.0029,0.006812,0.002,0.0013
