energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
0.013780463,0,132,0,2544,4,469
0.0136432,0,131,0,2544,4,469
0.014012158,0,131,0,2544,4,469
0.015129317,0,131,0,2544,4,469
0.01323682,0,131,0,2544,4,469
0.012838982,0,131,0,2544,4,469
0.011196092,0,130,0,2544,4,469
0.01403856,0,130,0,2544,4,469
0.000199005,0,37,0,11,3,22
0.000166816,0,37,0,11,3,22
0.000178631,0,37,0,11,3,22
0.000196239,0,37,0,11,3,22
0.000205717,0,37,0,11,3,22
0.000211282,0,37,0,11,3,22
0.000184682,0,37,0,11,3,22
0.000174068,0,37,0,11,3,22
0.000163121,0,37,0,11,3,22
0.000176946,0,37,0,11,3,22
0.000181261,0,37,0,11,3,22
0.000199573,0,37,0,11,3,22
0.000198488,0,37,0,11,3,22
0.000171614,0,37,0,11,3,22
0.000186567,0,37,0,11,3,22
0.000178513,0,37,0,11,3,22
0.000180169,0,37,0,11,3,22
0.003429306,0,66,0,101,0,101
0.00265066,0,66,0,101,0,101
0.001807243,0,66,0,101,0,101
0.001552027,0,66,0,101,0,101
0.001418894,0,66,0,101,0,101
0.001505746,0,66,0,101,0,101
0.001376174,0,66,0,101,0,101
0.001577489,0,66,0,101,0,101
0.001580686,0,66,0,101,0,101
0.002038844,0,66,0,101,0,101
0.002328393,0,67,0,101,0,101
0.0029169,0,67,0,101,0,101
0.00348262,0,66,0,101,0,101
0.002612865,0,66,0,101,0,101
0.001761773,0,66,0,101,0,101
0.001510164,0,66,0,101,0,101
0.001472316,0,66,0,101,0,101
0.000313319,0,20,0,9,0,33
0.000282811,0,20,0,9,0,33
0.000274532,0,20,0,9,0,33
0.000262509,0,20,0,9,0,33
0.000269561,0,20,0,9,0,33
0.000270797,0,20,0,9,0,33
0.000246768,0,20,0,9,0,33
0.000260507,0,20,0,9,0,33
0.000275392,0,20,0,9,0,33
0.000290012,0,20,0,9,0,33
0.000295585,0,20,0,9,0,33
0.00033295,0,19,0,9,0,33
0.000348028,0,19,0,9,0,33
0.000290181,0,19,0,9,0,33
0.000288351,0,19,0,9,0,33
0.000260568,0,19,0,9,0,33
0.000274256,0,19,0,9,0,33
0.003013042,0,50,0,75,0,33
0.002810578,0,50,0,75,0,33
0.001934622,0,51,0,75,0,33
