ano,mes,energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
2022,10,0.00 - 3349844.95,0,16,0,13,0,24
2022,11,0.00 - 3349844.95,0,16,0,13,0,24
2022,12,0.00 - 3349844.95,0,17,0,13,0,24
2023,1,0.00 - 3349844.95,0,17,0,13,0,24
2023,2,0.00 - 3349844.95,0,16,0,13,0,24
2023,3,0.00 - 3349844.95,0,16,0,13,0,24
2023,4,0.00 - 3349844.95,0,16,0,13,0,24
2023,5,0.00 - 3349844.95,0,16,0,13,0,24
2023,6,0.00 - 3349844.95,0,16,0,13,0,24
2023,7,0.00 - 3349844.95,0,16,0,13,0,24
2023,8,0.00 - 3349844.95,0,16,0,13,0,24
2023,9,0.00 - 3349844.95,0,16,0,13,0,24
2023,10,0.00 - 3349844.95,0,16,0,13,0,24
2023,11,0.00 - 3349844.95,0,16,0,13,0,24
2023,12,0.00 - 3349844.95,0,16,0,13,0,24
2022,8,0.00 - 3349844.95,0,45,0,35,0,98
2022,9,0.00 - 3349844.95,0,45,0,35,0,98
2022,10,0.00 - 3349844.95,0,45,0,35,0,98
2022,11,0.00 - 3349844.95,0,45,0,35,0,98
2022,12,0.00 - 3349844.95,0,45,0,35,0,98
2023,1,0.00 - 3349844.95,0,46,0,35,0,98
2023,2,0.00 - 3349844.95,0,46,0,35,0,98
2023,3,0.00 - 3349844.95,0,46,0,35,0,98
2023,4,0.00 - 3349844.95,0,46,0,35,0,98
2023,5,0.00 - 3349844.95,0,46,0,35,0,98
2023,6,0.00 - 3349844.95,0,46,0,35,0,98
2023,7,0.00 - 3349844.95,0,46,0,35,0,98
2023,8,0.00 - 3349844.95,0,46,0,35,0,98
2023,9,0.00 - 3349844.95,0,46,0,35,0,98
2023,10,0.00 - 3349844.95,0,46,0,35,0,98
2023,11,0.00 - 3349844.95,0,46,0,35,0,98
2023,12,0.00 - 3349844.95,0,46,0,35,0,98
2022,8,0.00 - 3349844.95,0,18,0,19,1,39
2022,9,0.00 - 3349844.95,0,18,0,19,1,39
2022,10,0.00 - 3349844.95,0,19,0,19,1,39
2022,11,0.00 - 3349844.95,0,19,0,19,1,39
2022,12,0.00 - 3349844.95,0,19,0,19,1,39
2023,1,0.00 - 3349844.95,0,19,0,19,1,39
2023,2,0.00 - 3349844.95,0,19,0,19,1,39
2023,3,0.00 - 3349844.95,0,19,0,19,1,39
2023,4,0.00 - 3349844.95,0,19,0,19,1,39
2023,5,0.00 - 3349844.95,0,19,0,19,1,39
2023,6,0.00 - 3349844.95,0,19,0,19,1,39
2023,7,0.00 - 3349844.95,0,19,0,19,1,39
2023,8,0.00 - 3349844.95,0,19,0,19,1,39
