ano,mes,energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao
2023,4,293745,0,27,0
2023,5,284899,0,27,0
2023,6,280727,0,27,0
2023,7,325422,0,27,0
2023,8,304500,0,27,0
2023,9,258393,0,27,0
2023,10,257105,0,27,0
2023,11,256630,0,27,0
2023,12,292759,0,27,0
2024,1,118328,0,27,0
2022,8,140771,0,16,0
2022,9,147236,0,16,0
2022,10,157841,0,16,0
2022,11,154140,0,16,0
2022,12,155369,0,16,0
2023,1,168463,0,17,0
2023,2,135302,0,17,0
2023,3,156560,0,17,0
2023,4,152957,0,17,0
2023,5,168364,0,17,0
2023,6,165780,0,17,0
2023,7,167849,0,17,0
2023,8,166389,0,17,0
2023,9,174871,0,17,0
2023,10,180352,0,17,0
2023,11,171844,0,17,0
2023,12,176524,0,17,0
2024,1,73783,0,17,0
2022,8,735138,0,33,0
2022,9,539029,0,33,0
2022,10,417393,0,33,0
2022,11,452614,0,33,0
2022,12,412734,0,33,0
2023,1,289935,0,33,0
2023,2,400328,0,34,0
2023,3,534734,0,35,0
2023,4,577884,0,35,0
2023,5,603754,0,35,0
2023,6,797352,0,41,0
2023,7,991232,0,43,0
2023,8,808603,0,43,0
2023,9,765940,0,44,0
2023,10,619664,0,44,0
2023,11,444812,0,44,0
2023,12,365062,0,44,0
2024,1,25163,0,44,0
2022,8,19978619,0,133,0
2022,9,19215277,0,133,0
2022,10,19114265,0,133,0
2022,11,18224446,0,133,0
2022,12,18577550,0,133,0
2023,1,18858195,0,133,0
2023,2,16691214,0,133,0
2023,3,18317944,0,133,0
2023,4,17369949,0,133,0
2023,5,19079612,0,133,0
2023,6,18911451,0,133,0
2023,7,19872872,0,133,0
2023,8,20051807,0,133,0
2023,9,19019261,0,133,0
2023,10,19376605,0,133,0
2023,11,18152991,0,133,0
2023,12,18189022,0,133,0
2024,1,2374551,0,133,0
2022,8,2445344,0,119,0
2022,9,2183260,0,119,0
2022,10,2367167,0,119,0
2022,11,2296461,0,119,0
2022,12,2313503,0,121,0
2023,1,2503744,0,121,0
2023,2,2207543,0,122,0
2023,3,2384466,0,122,0
2023,4,2074550,0,123,0
2023,5,2265956,0,123,0
2023,6,2304294,0,123,0
2023,7,2361393,0,123,0
2023,8,2312408,0,124,0
2023,9,2186736,0,124,0
2023,10,2414674,0,126,0
2023,11,2410418,0,126,0
2023,12,2310272,0,126,0
2024,1,996109,0,126,0
2022,8,989995,0,34,0
2022,9,973499,0,34,0
2022,10,979224,0,34,0
2022,11,889949,0,34,0
2022,12,889410,0,34,0
2023,1,1018056,0,34,0
2023,2,932041,0,34,0
2023,3,1020964,0,35,0
2023,4,923672,0,35,0
2023,5,942914,0,35,0
2023,6,914817,0,36,0
2023,7,903450,0,36,0
2023,8,855043,0,36,0
2023,9,871580,0,36,0
2023,10,975975,0,36,0
2023,11,950062,0,36,0
2023,12,913669,0,36,0
2024,1,391552,0,36,0
2022,8,6257324,0,120,0
2022,9,6800294,0,120,0
2022,10,6845376,0,120,0
2022,11,6466860,0,119,0
2022,12,6289274,0,119,0
2023,1,6646072,0,119,0
2023,2,5834129,0,120,0
2023,3,6337156,0,120,0
2023,4,5356645,0,120,0
2023,5,5892187,0,120,0
2023,6,5713022,0,120,0
2023,7,5321412,1,120,0
2023,8,4532154,1,120,0
2023,9,5385656,1,120,0
2023,10,5764930,1,120,0
2023,11,5630956,1,120,0
2023,12,4676598,1,120,0
2024,1,1176957,1,120,0
2022,8,1209272,0,57,0
2022,9,1539566,0,57,0
2022,10,1649161,0,57,0
2022,11,1555155,0,57,0
2022,12,1126187,0,57,0
2023,1,1608040,0,57,0
2023,2,1532873,0,58,0
2023,3,1571387,0,58,0
2023,4,1380533,0,58,0
2023,5,1239659,0,58,0
2023,6,986440,0,57,0
2023,7,1104666,0,57,0
2023,8,1130046,0,57,0
2023,9,1464254,0,57,0
2023,10,1553979,0,57,0
2023,11,1525336,0,57,0
2023,12,922646,0,57,0
2024,1,795427,0,57,0
2022,8,3568312,0,43,0
2022,9,4735630,0,43,0
2022,10,4688454,0,43,0
2022,11,4484348,0,43,0
2022,12,4179265,0,43,0
2023,1,4392062,0,43,0
2023,2,4315332,0,43,0
2023,3,4854863,0,43,0
2023,4,4144902,0,43,0
2023,5,4356101,0,43,0
2023,6,4470688,0,43,0
2023,7,4309715,0,43,0
2023,8,3523646,0,43,0
2023,9,4801253,0,43,0
2023,10,4744741,0,43,0
2023,11,4526434,0,44,0
2023,12,4094351,0,44,0
2024,1,954808,0,43,0
2022,8,2622194,0,34,0
2022,9,2480375,0,35,0
2022,10,2612863,0,35,0
2022,11,2406747,0,35,0
2022,12,2291525,0,35,0
2023,1,2362580,0,34,0
2023,2,2227851,0,34,0
2023,3,2444494,0,34,0
2023,4,2424483,0,34,0
2023,5,2681316,0,34,0
2023,6,1775950,0,34,0
2023,7,1766389,0,34,0
2023,8,1756085,0,33,0
2023,9,2453708,0,33,0
2023,10,2251631,0,33,0
2023,11,2564689,0,33,0
2023,12,2428294,0,34,0
2024,1,312232,0,36,0
2022,8,697018,0,39,0
2022,9,674518,0,39,0
2022,10,743596,0,39,0
2022,11,676377,0,39,0
2022,12,678614,0,39,0
2023,1,666757,0,39,0
2023,2,573619,0,39,0
2023,3,567053,0,39,0
2023,4,506473,0,39,0
2023,5,503682,0,39,0
2023,6,517872,0,39,0
2023,7,551037,0,39,0
2023,8,634613,0,39,0
2023,9,779758,0,39,0
2023,10,985679,0,39,0
2023,11,915794,0,39,0
2023,12,923030,0,40,0
2024,1,253189,0,40,0
2022,8,828981,0,60,0
2022,9,999325,0,60,0
2022,10,1083008,0,60,0
2022,11,1059302,0,60,0
2022,12,874238,0,60,0
2023,1,1169731,0,60,0
2023,2,1045751,0,61,0
2023,3,1044891,0,61,0
2023,4,906949,0,61,0
2023,5,926138,0,61,0
2023,6,979817,0,60,0
2023,7,867422,0,59,0
2023,8,759805,0,59,0
2023,9,913370,0,59,0
2023,10,1064380,0,59,0
2023,11,1091146,0,59,0
2023,12,965571,0,59,0
2024,1,621457,0,59,0
2022,8,773398,0,59,0
2022,9,660211,0,59,0
2022,10,600446,0,59,0
2022,11,556587,0,59,0
2022,12,601384,0,59,0
2023,1,631410,0,58,0
2023,2,554541,0,59,0
2023,3,599128,0,59,0
2023,4,561569,0,59,0
2023,5,615875,0,59,0
2023,6,669026,0,61,0
2023,7,841112,0,61,0
