ano,mês,energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
2023,12,2983911.75 - 6866211.91,5377.91 - 8752.42,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
2022,8,6866211.91 - 12252934.51,22924.60 - 32321.75,466.10 - 517.50,5235.35 - 7947.00,218.69 - 308.75,29385.43 - 46318.89,3.87 - 12.51
2022,9,6866211.91 - 12252934.51,22924.60 - 32321.75,466.10 - 517.50,5235.35 - 7947.00,218.69 - 308.75,29385.43 - 46318.89,3.87 - 12.51
2022,10,6866211.91 - 12252934.51,22924.60 - 32321.75,466.10 - 517.50,5235.35 - 7947.00,218.69 - 308.75,29385.43 - 46318.89,3.87 - 12.51
2022,11,6866211.91 - 12252934.51,22924.60 - 32321.75,466.10 - 517.50,5235.35 - 7947.00,218.69 - 308.75,29385.43 - 46318.89,3.87 - 12.51
2022,12,12252934.51 - 18464831.15,22924.60 - 32321.75,466.10 - 517.50,5235.35 - 7947.00,218.69 - 308.75,29385.43 - 46318.89,3.87 - 12.51
2023,1,12252934.51 - 18464831.15,22924.60 - 32321.75,466.10 - 517.50,5235.35 - 7947.00,218.69 - 308.75,29385.43 - 46318.89,3.87 - 12.51
2023,2,6866211.91 - 12252934.51,22924.60 - 32321.75,517.50 - 575.57,5235.35 - 7947.00,218.69 - 308.75,29385.43 - 46318.89,3.87 - 12.51
2023,3,6866211.91 - 12252934.51,22924.60 - 32321.75,517.50 - 575.57,5235.35 - 7947.00,218.69 - 308.75,29385.43 - 46318.89,3.87 - 12.51
2023,4,6866211.91 - 12252934.51,22924.60 - 32321.75,517.50 - 575.57,5235.35 - 7947.00,218.69 - 308.75,29385.43 - 46318.89,3.87 - 12.51
2023,5,6866211.91 - 12252934.51,22924.60 - 32321.75,517.50 - 575.57,5235.35 - 7947.00,218.69 - 308.75,29385.43 - 46318.89,3.87 - 12.51
2023,6,6866211.91 - 12252934.51,22924.60 - 32321.75,517.50 - 575.57,5235.35 - 7947.00,218.69 - 308.75,29385.43 - 46318.89,3.87 - 12.51
2023,7,6866211.91 - 12252934.51,22924.60 - 32321.75,517.50 - 575.57,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,3.87 - 12.51
2023,8,6866211.91 - 12252934.51,22924.60 - 32321.75,517.50 - 575.57,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,3.87 - 12.51
2023,9,6866211.91 - 12252934.51,22924.60 - 32321.75,517.50 - 575.57,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,3.87 - 12.51
2023,10,6866211.91 - 12252934.51,22924.60 - 32321.75,517.50 - 575.57,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,3.87 - 12.51
2023,11,6866211.91 - 12252934.51,22924.60 - 32321.75,517.50 - 575.57,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,3.87 - 12.51
2023,12,12252934.51 - 18464831.15,22924.60 - 32321.75,517.50 - 575.57,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,3.87 - 12.51
