Ano;Semestre;CodConcelho;Concelho;Pedidos de Ligação à Rede Executados (#)
2023;1;1006;Caldas da Rainha;2.0
2023;1;1105;Cascais;8.0
2023;1;1412;Golegã;1.0
2023;1;1505;Grândola;1.0
2023;1;0808;Loulé;9.0
2023;1;0706;Montemor-o-Novo;1.0
2023;1;1110;Oeiras;1.0
2023;1;0109;Santa Maria da Feira;18.0
2023;1;1416;Santarém;1.0
2023;1;1511;Sesimbra;1.0
2023;1;1513;Sines;1.0
2023;1;1111;Sintra;2.0
2023;1;0312;Vila Nova de Famalicão;3.0
2023;1;1317;Vila Nova de Gaia;2.0
2023;1;0314;Vizela;1.0
2023;2;1001;Alcobaça;1.0
2023;2;1103;Azambuja;1.0
2023;2;1504;Barreiro;4.0
2023;2;0205;Beja;1.0
2023;2;0303;Braga;1.0
2023;2;0503;Covilhã;5.0
2023;2;1410;Entroncamento;4.0
2023;2;0306;Esposende;1.0
2023;2;1304;Gondomar;2.0
2023;2;0907;Guarda;1.0
2023;2;0807;Lagos;1.0
2023;2;1108;Lourinhã;1.0
2023;2;1806;Mangualde;1.0
2023;2;1308;Matosinhos;4.0
2023;2;0608;Mira;1.0
2023;2;0610;Montemor-o-Velho;1.0
2023;2;1507;Montijo;2.0
2023;2;1110;Oeiras;2.0
2023;2;0115;Ovar;1.0
2023;2;1311;Penafiel;2.0
2023;2;1312;Porto;1.0
2023;2;1814;Santa Comba Dão;1.0
2023;2;1416;Santarém;2.0
2023;2;1111;Sintra;1.0
2023;2;0101;Águeda;2.0
2024;1;1601;Arcos de Valdevez;1.0
2024;1;1504;Barreiro;2.0
2024;1;1005;Bombarral;1.0
2024;1;0303;Braga;1.0
2024;1;0804;Castro Marim;1.0
2024;1;0704;Estremoz;1.0
2024;1;1303;Felgueiras;1.0
2024;1;0607;Lousã;1.0
2024;1;1306;Maia;2.0
2024;1;0115;Ovar;1.0
2024;1;1310;Paredes;1.0
2024;1;1312;Porto;1.0
2024;1;0109;Santa Maria da Feira;1.0
2024;1;1512;Setúbal;1.0
2024;1;1111;Sintra;3.0
2024;1;0616;Tábua;1.0
2024;1;0312;Vila Nova de Famalicão;1.0
2024;1;1316;Vila do Conde;9.0
2021;1;0102;Albergaria-a-Velha;1.0
2021;1;0307;Fafe;2.0
2021;1;1106;Lisboa;4.0
2021;1;0607;Lousã;1.0
2021;1;1308;Matosinhos;1.0
2021;1;1506;Moita;1.0
2021;1;0112;Murtosa;1.0
2021;1;1110;Oeiras;16.0
2021;1;0212;Ourique;2.0
2021;1;1606;Ponte da Barca;1.0
2021;1;0814;Tavira;1.0
2021;1;1315;Valongo;1.0
2021;1;0101;Águeda;2.0
2021;2;0301;Amares;1.0
2021;2;0601;Arganil;1.0
2021;2;1006;Caldas da Rainha;1.0
2021;2;1105;Cascais;1.0
2021;2;0603;Coimbra;1.0
2021;2;0307;Fafe;1.0
2021;2;1304;Gondomar;1.0
2021;2;1505;Grândola;2.0
2021;2;1106;Lisboa;2.0
2021;2;1107;Loures;3.0
2021;2;1308;Matosinhos;1.0
2021;2;0706;Montemor-o-Novo;2.0
2021;2;1507;Montijo;1.0
2021;2;1508;Palmela;1.0
2021;2;0507;Penamacor;1.0
2021;2;1708;Peso da Régua;1.0
2021;2;1607;Ponte de Lima;2.0
2021;2;1213;Ponte de Sôr;1.0
2021;2;1312;Porto;2.0
2021;2;1813;Resende;1.0
2021;2;1510;Seixal;1.0
2021;2;0213;Serpa;1.0
2021;2;1418;Tomar;1.0
2021;2;0313;Vila Verde;2.0
2021;2;1316;Vila do Conde;1.0
2022;1;1501;Alcácer do Sal;2.0
2022;1;0105;Aveiro;2.0
2022;1;1105;Cascais;2.0
2022;1;0603;Coimbra;2.0
2022;1;1410;Entroncamento;1.0
2022;1;0107;Espinho;1.0
2022;1;1303;Felgueiras;2.0
