energia_ativa_baixa_tensao_kwh,energia_ativa_alta_tensao_kwh,cpes_domestico_baixa_tensao,cpes_domestico_alta_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_baixa_tensao,cpes_outros_alta_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,56.82 - 100.27,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,0.00 - 3.87
12252934.51 - 18464831.15,54151023.47 - 62644871.22,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,66111.12 - 91019.96,3.87 - 12.51
12252934.51 - 18464831.15,46732665.71 - 54151023.47,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,66111.12 - 91019.96,3.87 - 12.51
12252934.51 - 18464831.15,46732665.71 - 54151023.47,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,66111.12 - 91019.96,3.87 - 12.51
12252934.51 - 18464831.15,54151023.47 - 62644871.22,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,66111.12 - 91019.96,3.87 - 12.51
18464831.15 - 25417395.44,54151023.47 - 62644871.22,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,66111.12 - 91019.96,3.87 - 12.51
18464831.15 - 25417395.44,37597633.55 - 46732665.71,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,66111.12 - 91019.96,3.87 - 12.51
18464831.15 - 25417395.44,37597633.55 - 46732665.71,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,66111.12 - 91019.96,3.87 - 12.51
18464831.15 - 25417395.44,54151023.47 - 62644871.22,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,66111.12 - 91019.96,3.87 - 12.51
12252934.51 - 18464831.15,46732665.71 - 54151023.47,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,66111.12 - 91019.96,3.87 - 12.51
12252934.51 - 18464831.15,46732665.71 - 54151023.47,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,66111.12 - 91019.96,3.87 - 12.51
12252934.51 - 18464831.15,46732665.71 - 54151023.47,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,91019.96 - 117492.23,3.87 - 12.51
12252934.51 - 18464831.15,46732665.71 - 54151023.47,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,91019.96 - 117492.23,3.87 - 12.51
12252934.51 - 18464831.15,46732665.71 - 54151023.47,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,91019.96 - 117492.23,3.87 - 12.51
12252934.51 - 18464831.15,46732665.71 - 54151023.47,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,91019.96 - 117492.23,12.51 - 28.31
18464831.15 - 25417395.44,46732665.71 - 54151023.47,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,91019.96 - 117492.23,12.51 - 28.31
18464831.15 - 25417395.44,37597633.55 - 46732665.71,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,91019.96 - 117492.23,12.51 - 28.31
18464831.15 - 25417395.44,46732665.71 - 54151023.47,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,91019.96 - 117492.23,12.51 - 28.31
6866211.91 - 12252934.51,0.00 - 3353532.66,55588.09 - 63298.13,0.54 - 2.00,355.01 - 407.69,14557.61 - 17978.37,255.24 - 295.97,218.69 - 308.75,0.00 - 27.46,91019.96 - 117492.23,12.51 - 28.31
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
139066.00 - 2983911.75,0.00 - 3353532.66,3196.96 - 5377.91,0.00 - 0.54,7.00 - 56.82,174.00 - 1556.31,0.00 - 28.52,1.00 - 38.21,0.00 - 27.46,1144.00 - 8292.53,3.87 - 12.51
